implementation,case,avg_time,std_time,vertices_count,faces_count,k
libigl_cpu,plane_10x10_k1,0.0006680488586425781,0.00047238288088915755,100,162,1
libigl_cpu,plane_10x10_k2,0.0006671746571858724,0.00047176373437288107,100,162,2
libigl_cpu,plane_20x20_k1,0.0009993712107340496,7.867411722033552e-07,400,722,1
libigl_cpu,plane_20x20_k2,0.0018346309661865234,0.00023467397547279214,400,722,2
libigl_cpu,plane_30x30_k1,0.014319896697998047,0.0015848978653060187,900,1682,1
libigl_cpu,plane_30x30_k2,0.0262601375579834,0.000614898479134484,900,1682,2
libigl_cpu,plane_40x40_k1,0.014399528503417969,0.0008100044703690521,1600,3042,1
libigl_cpu,plane_40x40_k2,0.03122369448343913,0.0001960584012675863,1600,3042,2
libigl_cpu,plane_50x50_k1,0.01703643798828125,1.6415715062488257e-05,2500,4802,1
libigl_cpu,plane_50x50_k2,0.039980411529541016,0.0008023850383018662,2500,4802,2
libigl_cpu,plane_75x75_k1,0.028953711191813152,0.0008024115882706898,5625,10952,1
libigl_cpu,plane_75x75_k2,0.08056457837422688,0.0006001269327495939,5625,10952,2
libigl_cpu,plane_100x100_k1,0.05294338862101237,0.0011237475794469852,10000,19602,1
libigl_cpu,plane_100x100_k2,0.17322985331217447,0.0032798316653505845,10000,19602,2
pytorch_cpu,plane_10x10_k1,0.0010639031728108723,8.797491216411094e-05,100,162,1
pytorch_cpu,plane_10x10_k2,0.001333793004353841,0.00047215725543921846,100,162,2
pytorch_cpu,plane_20x20_k1,0.006911754608154297,0.0015063544068191345,400,722,1
pytorch_cpu,plane_20x20_k2,0.006223996480305989,0.0006139473413047379,400,722,2
pytorch_cpu,plane_30x30_k1,0.008567571640014648,0.0015580929165382746,900,1682,1
pytorch_cpu,plane_30x30_k2,0.016101916631062824,0.0004671718756899775,900,1682,2
pytorch_cpu,plane_40x40_k1,0.023244619369506836,0.00045889430852513903,1600,3042,1
pytorch_cpu,plane_40x40_k2,0.06868497530619304,0.0006262253682813212,1600,3042,2
pytorch_cpu,plane_50x50_k1,0.0759426752726237,0.0011977272607348601,2500,4802,1
pytorch_cpu,plane_50x50_k2,0.24928434689839682,0.0025186001875123426,2500,4802,2
pytorch_cpu,plane_75x75_k1,0.6859975655873617,0.03780604622298411,5625,10952,1
pytorch_cpu,plane_75x75_k2,2.8203252951304116,0.10058963573323447,5625,10952,2
pytorch_cpu,plane_100x100_k1,3.419771114985148,0.02065347312530834,10000,19602,1
pytorch_cpu,plane_100x100_k2,13.70248794555664,0.17252897760385003,10000,19602,2
pytorch_cuda,plane_10x10_k1,0.002837101618448893,0.0006215071427310594,100,162,1
pytorch_cuda,plane_10x10_k2,0.0031717618306477866,0.00024001937801518614,100,162,2
pytorch_cuda,plane_20x20_k1,0.0037145614624023438,0.0005152387122214418,400,722,1
pytorch_cuda,plane_20x20_k2,0.005020459493001302,0.0003732970247446593,400,722,2
pytorch_cuda,plane_30x30_k1,0.006335735321044922,0.0006215265828865864,900,1682,1
pytorch_cuda,plane_30x30_k2,0.01002033551534017,0.0007272306102623605,900,1682,2
pytorch_cuda,plane_40x40_k1,0.010504802068074545,7.867411722033552e-07,1600,3042,1
pytorch_cuda,plane_40x40_k2,0.016344308853149414,0.00023841762542533873,1600,3042,2
pytorch_cuda,plane_50x50_k1,0.01723162333170573,0.0002435160209788931,2500,4802,1
pytorch_cuda,plane_50x50_k2,0.028859297434488933,0.00039559906831406307,2500,4802,2
pytorch_cuda,plane_75x75_k1,0.059362173080444336,0.00022174756511358508,5625,10952,1
pytorch_cuda,plane_75x75_k2,0.12307961781819661,0.0011809018689739755,5625,10952,2
pytorch_cuda,plane_100x100_k1,0.17011690139770508,0.0004984253540540064,10000,19602,1
pytorch_cuda,plane_100x100_k2,0.4576568603515625,0.0013519744670433822,10000,19602,2
