case,avg_time,std_time,vertices_count,faces_count,k
plane_10x10_k1,0.002837101618448893,0.0006215071427310594,100,162,1
plane_10x10_k2,0.0031717618306477866,0.00024001937801518614,100,162,2
plane_20x20_k1,0.0037145614624023438,0.0005152387122214418,400,722,1
plane_20x20_k2,0.005020459493001302,0.0003732970247446593,400,722,2
plane_30x30_k1,0.006335735321044922,0.0006215265828865864,900,1682,1
plane_30x30_k2,0.01002033551534017,0.0007272306102623605,900,1682,2
plane_40x40_k1,0.010504802068074545,7.867411722033552e-07,1600,3042,1
plane_40x40_k2,0.016344308853149414,0.00023841762542533873,1600,3042,2
plane_50x50_k1,0.01723162333170573,0.0002435160209788931,2500,4802,1
plane_50x50_k2,0.028859297434488933,0.00039559906831406307,2500,4802,2
plane_75x75_k1,0.059362173080444336,0.00022174756511358508,5625,10952,1
plane_75x75_k2,0.12307961781819661,0.0011809018689739755,5625,10952,2
plane_100x100_k1,0.17011690139770508,0.0004984253540540064,10000,19602,1
plane_100x100_k2,0.4576568603515625,0.0013519744670433822,10000,19602,2
